Betreiber;Straße;Hausnummer;Adresszusatz;Postleitzahl;Ort;Bundesland;Kreis/kreisfreie Stadt;Breitengrad;Längengrad;Inbetriebnahmedatum;Anschlussleistung;Art der Ladeeinrichung;Anzahl Ladepunkte;Steckertypen1;P1 [kW];Public Key1;Steckertypen2;P2 [kW];Public Key2;Steckertypen3;P3 [kW];Public Key3;Steckertypen4;P4 [kW];Public Key4
Rheinenergie AG;Brühler Straße;22;;50968;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,90976;6,9618;23.04.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Tacitusstraße;17;;50968;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,909467;6,969244;17.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Brühler Straße;210;;50968;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,901557;6,954735;25.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Von-Groote-Straße;46;;50968;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,899257;6,967527;03.09.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Am Südpark;1;;50968;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,898399;6,975829;17.11.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Procar Automobile GmbH;Raderthalgürtel;1a;;50968;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,903385;6,95195;21.01.19;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
EWE Go GmbH;Koblenzer Str.;2-4;;50968;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,91427505;6,9621723;23.05.22;156;Schnellladeeinrichtung;2;DC Kupplung Combo;150;;DC Kupplung Combo;150;;;;;;;
ALDI SÜD;Neuer Weyerstraßenweg;3;;50969;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,9062751;6,9338666;16.06.15;20;Normalladeeinrichtung;1;AC Steckdose Typ 2, DC Kupplung Combo, DC CHAdeMO;20;;;;;;;;;;
Rheinenergie AG;Berlin-Kölnische-Allee;6;;50969;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,916828;6,938862;22.08.19;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Homburger Straße;17;;50969;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,91378;6,94794;25.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Am Vorgebirgstor;43;;50969;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,916649;6,942077;22.09.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Hönninger Weg;222;;50969;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,90812;6,941103;17.09.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Zollstockgürtel;22;;50969;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,905198;6,94172;29.10.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Zollstockgürtel;2;;50969;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,904749;6,945031;22.09.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Kalscheurer Weg;35;;50969;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,906421;6,940131;01.11.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Charge-ON GmbH;Höninger Weg;12;;50969;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,92081;6,9403;12.12.17;72;Schnellladeeinrichtung;2;AC Kupplung Typ 2;22;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
Rheinenergie AG;Mainstraße;38;;50996;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,884383;7,001274;22.09.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Gudrunstraße;1;;50996;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,891111;6,996805;20.09.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Lidl Dienstleistung GmbH & Co. KG;Emil-Hoffmann-Str.;42;;50996;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,86748;6,99062;21.04.20;72;Schnellladeeinrichtung;2;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
Rheinenergie AG;Reiherstraße;21;;50997;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,875034;6,960539;26.11.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
IKEA Deutschland GmbH;Godorfer Hauptstraße;171;;50997;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,862081;6,971593;20.07.18;42;Normalladeeinrichtung;2;AC Kupplung Typ 2;22;;DC Kupplung Combo, DC CHAdeMO;20;;;;;;;
IKEA Deutschland GmbH;Godorfer Hauptstraße;171;;50997;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,862081;6,971593;20.07.18;42;Normalladeeinrichtung;2;AC Kupplung Typ 2;22;;DC Kupplung Combo, DC CHAdeMO;20;;;;;;;
ALDI SÜD;Am Feldrain;38;;50999;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,87182;7,01324;16.06.15;20;Normalladeeinrichtung;1;AC Steckdose Typ 2, DC Kupplung Combo, DC CHAdeMO;20;;;;;;;;;;
Rheinenergie AG;Sürther Marktplatz;0;;50999;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,86178;7,00788;17.09.21;72;Schnellladeeinrichtung;2;DC Kupplung Combo;50;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Miltzstraße;14;;51061;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;51,002995;6,974744;25.06.18;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Thuleweg;62;;51061;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,981562;7,044829;01.06.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Evergerstraße;31;;51061;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;51,001372;6,980353;17.06.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Eduard-Heis-Straße ;1;;51061;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,999401;6,983248;11.11.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Adam-Stegerwald-Str.;19;;51063;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,949945;6,992169;28.09.17;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Düsseldorfer Straße;95;;51063;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,97451;7,00236;17.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Tiefentalstraße;39;;51063;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,975501;6,007016;06.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Von Sparr Straße;1;;51063;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,972832;7,007129;07.09.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Lidl Dienstleistung GmbH & Co. KG;Düsseldorfer Straße;177;;51063;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,9777562;7,0010122;11.12.18;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;9BBD1794AAA87814176A419987290E2EB19E6DED7D0E297D0B42D4DB6A8274A69FBEFBB519375071302865038CE354C8;AC Steckdose Typ 2;22;B2D2B942B51A30B67AA43B29A573EE2852796BAD88E52F0011B7C0BFC3CBA98FFF76803412C805F3C4626F8DDD028AF4;;;;;;
Procar Automobile GmbH;Clevischer Ring;129;;51063;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,976487;7,003912;18.01.19;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Lidl Dienstleistung GmbH & Co. KG;Kalk-Mühlheimer-Str.;337;;51065;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,9578;7,0056;28.05.19;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Colonia-Allee;10-20;;51067;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,963563;7,051716;09.01.18;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Colonia-Allee;10-20;;51067;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,963563;7,051716;10.10.19;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Bergisch Gladbacher Straße;999;;51067;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,979224;7,072287;18.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Neufelder Straße;35;;51067;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,967991;7,057602;10.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Piccoloministraße;464;;51067;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,972986;7,049331;01.06.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Bergisch Gladbacher Straße;988;;51067;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,978136;7,069253;02.09.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Bergisch Gladbacher Straße;499;;51067;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,968878;7,041386;13.10.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Art Factory;Dünnwalder Mauspfad;341;;51069;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,9986042;7,0461803;13.04.21;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;;;;;;;
Rheinenergie AG;Olpener Straße;194;;51103;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,94013;7,02626;06.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Frankfurter Straße;350;;51103;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,9438;7,02691;19.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Vorsterstraße;68;;51103;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,938932;7,001707;07.09.21;72;Schnellladeeinrichtung;2;DC Kupplung Combo;50;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Kalker Hauptstraße;176;;51103;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,938266;7,00554;17.11.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
ALDI SÜD;Poller Kirchweg;76;;51105;Köln-Poll;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,917817;6,984346;09.07.20;150;Schnellladeeinrichtung;3;DC Kupplung Combo;150;;DC Kupplung Combo;150;;AC Steckdose Typ 2;22;;;;
Rheinenergie AG;Konstantin-Wille-Straße;1;ggü.;51105;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,923715;6,991864;23.04.13;44;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Schuko;22;;AC Steckdose Typ 2, AC Schuko;22;;;;;;;
Rheinenergie AG;Siegburgerstraße;232-238;;51105;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,92041;6,984919;13.06.16;22;Normalladeeinrichtung;1;AC Steckdose Typ 2, AC Schuko;22;;;;;;;;;;
Rheinenergie AG;Alfred-Schütte-Allee;132;;51105;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,911664;6,984901;11.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Taunusstraße;7;;51105;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,934627;6,99747;14.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Gottfried-Hagen-Straße;44;;51105;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,931443;7,002094;03.09.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Esserstraße;79;;51105;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,93031;6,99647;25.11.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Siegburgerstraße;232-238;;51106;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,92041;6,984919;13.06.16;22;Normalladeeinrichtung;1;AC Steckdose Typ 2, AC Schuko;22;;;;;;;;;;
Rheinenergie AG;Ludwig-Ronig-Straße;6;;51107;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,928982;7,047877;14.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Ostheimer Straße;125;;51107;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,932279;7,024819;26.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Fockerweg;8;;51107;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,920487;7,083967;19.09.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Ostmerheimer Str.;555;;51109;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,957514;7,048832;14.10.16;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;;;;;;;
Rheinenergie AG;Ostmerheimer Str.;555;;51109;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,957514;7,048832;14.10.16;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Olpener Straße;803;;51109;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,945239;7,075701;03.09.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Kratzweg;116;;51109;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,94651;7,04947;09.11.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Kaufland Dienstleistung GmbH & Co. KG;Ostmerheimer Str.;198;;51109;Köln-Merheim;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,941765;7,051004;02.02.18;93;Schnellladeeinrichtung;2;AC Kupplung Typ 2;43;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
Rheinenergie AG;Hauptstraße;245;;51143;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,873884;7,049901;01.06.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Lülsdorfer Straße;125;;51143;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,84619;7,005676;27.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Unterm Berg;18;;51143;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,865236;7,036802;08.06.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Rathausstraße;4;;51143;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,88611;7,05433;07.09.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Hauptstraße;170;;51143;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,869174;7,045382;03.09.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
APCOA PARKING Deutschland GmbH;Hermannstr.;2;;51143;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,8845774;7,058672;01.12.16;11;Normalladeeinrichtung;2;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;;;;;;;
Charge-ON GmbH;Hermannstraße;2;;51143;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,885322;7,060149;16.11.20;11;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
ALDI SÜD;Kaiserstr.;95;;51145;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,88136;7,0699;16.06.15;20;Normalladeeinrichtung;1;AC Steckdose Typ 2, DC Kupplung Combo, DC CHAdeMO;20;;;;;;;;;;
Rheinenergie AG;Kaiserstraße;21;;51145;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,881;7,077262;22.06.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Lidl Dienstleistung GmbH & Co. KG;Friedrich-Neumann-Str.;1;;51145;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,89996;7,07561;23.02.21;75;Schnellladeeinrichtung;3;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;AC Kupplung Typ 2, DC Kupplung Combo;50;;AC Kupplung Typ 2, DC CHAdeMO;50;;;;
Rheinenergie AG;Niederkasselerstr.;8;;51147;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,840479;7,103025;17.01.19;72;Schnellladeeinrichtung;2;AC Steckdose Typ 2;22;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
Rheinenergie AG;Heinrich-Steinmann-Str.;12;;51147;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,880516;7,116148;01.04.14;11;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
Rheinenergie AG;Heinrich-Steinmann-Str.;12;;51147;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,880277;7,115876;01.04.14;11;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51147;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,879504;7,118784;22.03.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51147;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,879504;7,118784;22.03.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51147;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,879504;7,118784;22.03.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51147;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,879504;7,118784;22.03.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51147;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,879504;7,118784;27.03.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51147;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,879504;7,118784;27.03.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51147;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,879504;7,118784;27.03.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51147;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,879504;7,118784;27.03.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51147;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,879504;7,118784;27.03.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51147;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,879504;7,118784;30.09.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Hansestraße;115;;51149;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,91278;7,056672;08.04.15;44;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Schuko;22;;AC Steckdose Typ 2, AC Schuko;22;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51149;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,882871;7,110765;02.04.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51149;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,882871;7,110765;02.04.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51149;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,882871;7,110765;02.04.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51149;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,882871;7,110765;02.04.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51149;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,882871;7,110765;20.05.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51149;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,882871;7,110765;20.05.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51149;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,882871;7,110765;20.05.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51149;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,882871;7,110765;12.06.19;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51149;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,882871;7,110765;09.03.20;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Kennedystraße;1;;51149;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,882871;7,110765;23.10.20;3,5;Normalladeeinrichtung;1;AC Steckdose Typ 2;3,5;;;;;;;;;;
Rheinenergie AG;Nikolausstraße;50;;51149;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,900408;7,01894;11.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Neuenhofstraße;2;;51149;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,911001;7,053249;05.06.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
Rheinenergie AG;Theodor-Heuss-Straße;9;;51149;Köln;Nordrhein-Westfalen;Kreisfreie Stadt Köln;50,897005;7,064606;28.05.21;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;